environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
ec2-east1,quic,none,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,rate-limit,5,10,1.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,605.7438399994862,68.37608500908246
ec2-east1,quic,rate-limit,5,10,5.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,167.5326400002814,13.95108662134648
ec2-east1,quic,rate-limit,5,10,10.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,114.35364000004483,9.561705645323164
ec2-east1,quic,rate-limit,5,10,25.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,110.85343999933684,18.4467885311208
ec2-east1,quic,rate-limit,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,object-count,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,object-count,10,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,227.8934399987338,77.23529012169095
ec2-east1,quic,object-count,50,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1674.1225999986636,575.4131004293068
ec2-east1,quic,object-count,100,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,3558.7637799986987,887.3020349469609
ec2-east1,quic,object-count,200,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,7244.877060002182,1616.4083215073633
ec2-east1,quic,object-size,5,5,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,74.8819399997592,15.531006484353977
ec2-east1,quic,object-size,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,object-size,5,100,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1444.2201400001068,83.55266366116318
ec2-east1,quic,object-size,5,200,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,3185.95986000204,143.60955480534128
ec2-east1,quic,object-size,5,500,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,8289.044139999314,195.5879169431325
ec2-east1,quic,object-size,5,1000,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,17135.399900000193,1394.8244796194097
ec2-east1,quic,loss-p,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,loss-p,5,10,50.0,20,5,25,normal,1.0,99.0,100.0,0.0,0.0,25,0.0,25,128.79304000089178,38.243610620088766
ec2-east1,quic,loss-p,5,10,50.0,20,5,25,normal,2.0,98.0,100.0,0.0,0.0,25,0.0,25,125.7284599999548,27.148438421883874
ec2-east1,quic,loss-p,5,10,50.0,20,5,25,normal,3.0,97.0,100.0,0.0,0.0,25,0.0,25,127.95621999946889,34.81588701505489
ec2-east1,quic,loss-p,5,10,50.0,20,5,25,normal,5.0,95.0,100.0,0.0,0.0,25,0.0,25,138.9181599987205,37.115856548434174
ec2-east1,quic,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,1.0,25,0.0,25,112.92669999966165,18.889366448772854
ec2-east1,quic,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,2.0,25,0.0,25,107.45088000199758,6.634416852704032
ec2-east1,quic,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,3.0,25,0.0,25,109.7991799999727,9.159440748993903
ec2-east1,quic,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,5.0,25,0.0,25,112.11095999984536,15.936074117529104
ec2-east1,quic,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,10.0,25,0.0,25,131.4231400002609,49.573878608866764
ec2-east1,quic,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,15.0,25,0.0,25,155.7442400016589,57.874052626784604
ec2-east1,quic,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,1.0,25,113.97599999967497,17.31102141304785
ec2-east1,quic,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,2.0,25,112.14783999952488,16.34350152913173
ec2-east1,quic,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,3.0,25,112.03834000072675,14.943944386962107
ec2-east1,quic,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,5.0,25,108.6650799997733,10.351845176717287
ec2-east1,quic,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,10.0,25,113.37388000072679,16.839068982691515
ec2-east1,quic,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,15.0,25,111.59004000073764,12.077756310170347
ec2-east1,quic,delay-time,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,delay-time,5,10,50.0,50,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,235.15568000031635,10.286901815189134
ec2-east1,quic,delay-time,5,10,50.0,100,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,438.46075999957975,11.19980509330403
ec2-east1,quic,delay-time,5,10,50.0,150,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,649.932920000283,12.503538736855187
ec2-east1,quic,delay-time,5,10,50.0,200,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,852.9574400006095,12.005703031607476
ec2-east1,quic,delay-jitter,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,delay-jitter,5,10,50.0,20,20,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,166.88258000009228,32.02080019461524
ec2-east1,quic,delay-jitter,5,10,50.0,20,40,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,223.43143999984022,46.35469205129792
ec2-east1,quic,delay-jitter,5,10,50.0,20,60,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,287.1064000003389,69.80335936260146
ec2-east1,quic,delay-jitter,5,10,50.0,20,80,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,374.0848200005712,121.03015897812762
ec2-east1,quic,delay-jitter,5,10,50.0,20,100,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,437.69450000021607,156.25071079407832
ec2-east1,tcp,none,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,rate-limit,5,10,1.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,419.68934000004083,70.84939912764465
ec2-east1,tcp,rate-limit,5,10,5.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,129.75923999940278,13.121180874500492
ec2-east1,tcp,rate-limit,5,10,10.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,108.25087999925017,7.548946605747899
ec2-east1,tcp,rate-limit,5,10,25.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,102.8528600014397,8.632321385237631
ec2-east1,tcp,rate-limit,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,object-count,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,object-count,10,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,117.65549999894574,12.4579273942178
ec2-east1,tcp,object-count,50,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,243.82912000000942,17.88850931441194
ec2-east1,tcp,object-count,100,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,320.92837999924086,22.8792649624417
