environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
ec2,quic,none,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,284.3739799998002,29.800734753864447
ec2,quic,rate-limit,5,10,1.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,642.0248399997945,30.320512413951626
ec2,quic,rate-limit,5,10,5.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,315.0752800000191,50.34788590727187
ec2,quic,rate-limit,5,10,10.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,333.700040000258,75.81461501113174
ec2,quic,rate-limit,5,10,25.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,318.7674399999378,57.71732930101526
ec2,quic,rate-limit,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,284.3739799998002,29.800734753864447
ec2,quic,object-count,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,284.3739799998002,29.800734753864447
ec2,quic,object-count,10,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,541.1852199998975,171.3955417260389
ec2,quic,object-count,50,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,2544.1477400004806,1098.1094032290778
ec2,quic,object-count,100,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,4861.141979999957,281.7800361080407
ec2,quic,object-count,200,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,9988.277919999964,361.51859403542414
ec2,quic,object-size,5,5,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,153.65652000007685,8.075197139829445
