environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
ec2,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,118.39558999999983,26.45534764318666
ec2,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,170.713879999997,29.294281728105275
ec2,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,122.30462000000331,21.47039551651483
ec2,quic,rate-limit,5,10,25.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,117.78915000000154,26.050408245692196
ec2,quic,rate-limit,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,118.39558999999983,26.45534764318666
ec2,quic,object-count,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,118.39558999999983,26.45534764318666
ec2,quic,object-count,10,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,225.63414999999847,74.9599066856908
ec2,quic,object-count,50,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,1621.0321900000004,132.34286082488637
ec2,quic,object-count,100,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,3701.1964699999994,961.8876940124294
ec2,quic,object-count,500,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,19254.844929999992,4249.225952982712
ec2,quic,object-size,5,5,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,81.94925000002968,29.073256188909635
ec2,quic,object-size,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,118.39558999999983,26.45534764318666
ec2,quic,object-size,5,100,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,1524.828130000001,113.76576183338946
ec2,quic,object-size,5,200,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,3294.8058299999866,136.02609534447384
ec2,quic,object-size,5,500,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,8713.466730000006,273.2297081691533
ec2,quic,object-size,5,1000,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,17668.094150000044,351.86964608011857
ec2,quic,loss-p,5,10,50.0,20,5,25,normal,0.0,0.99,0,1.0,0.0,25,0.0,25,115.73969999996734,20.399620930621374
ec2,quic,loss-p,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,118.39558999999983,26.45534764318666
ec2,quic,loss-p,5,10,50.0,20,5,25,normal,0.02,0.99,0,1.0,0.0,25,0.0,25,118.58540000001085,24.076190842762497
ec2,quic,loss-p,5,10,50.0,20,5,25,normal,0.03,0.99,0,1.0,0.0,25,0.0,25,118.90395000000353,36.527372467080774
ec2,quic,delay-time,5,10,50.0,50,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,272.6033599999755,105.67380883055961
