environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,297.8133000084199,10.872079938325582
local,quic,object-count,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,297.8133000084199,10.872079938325582
local,quic,object-count,10,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,525.2630999893881,50.789672070805764
local,quic,"delay-time, delay-jitter",5,10,50.0,50,10,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,503.79719998454675,146.23190903894331
local,quic,"delay-time, delay-jitter",5,10,50.0,100,20,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,754.3797000078484,193.17114721645623
local,tcp,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,569.2410000250675,154.92995620197973
local,tcp,object-count,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,569.2410000250675,154.92995620197973
local,tcp,object-count,10,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,1024.4989999686368,105.69270805053458
local,tcp,"delay-time, delay-jitter",5,10,50.0,50,10,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,817.8492999752052,73.34912863392788
local,tcp,"delay-time, delay-jitter",5,10,50.0,100,20,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,1238.8258000137284,95.72668914501213
